Customer Message,Category
"can you please lower the price	",price negotiate
"can I get some discount over this product	",price negotiate
"any discount available	",price negotiate
"is there any concession	",price negotiate
"is there any offer on price	",price negotiate
"is there any discount offer	",price negotiate
"*can I get discount if I buy 2 products*	",price negotiate
"is there any festival offer or deals	",price negotiate
"cant you lower the price for me too	",price negotiate
"is there any scheme on your products	",price negotiate
"any offer?	",price negotiate
"any discount?	",price negotiate
"can you give #% discount	",price negotiate
"discount please	",price negotiate
"it wiill be better if you give discount	",price negotiate
"it will be affordable if you give some discount	",price negotiate
"i want many will i get any discount	",price negotiate
"i want in numbers will i get any discount	",price negotiate
"i will buy more if i get a discount	",price negotiate
"i want to buy # wil i get a discount	",price negotiate
"please lower the price	",price negotiate
"be kind and lower the price	",price negotiate
"make it roundoff amount	",price negotiate
"is it possible to roundoff	",price negotiate
"you are not letting me bargain	",price negotiate
"what is the problem if i bargain	",price negotiate
"why cant i bargain	",price negotiate
"no special offer for me	",price negotiate
"can you reduce price	",price negotiate
"can you reduce amount	",price negotiate
"any reduction in price	",price negotiate
"price reduction?	",price negotiate
"please reduce the price	",price negotiate
"reduce price	",price negotiate
"how costly?	",price negotiate
"why this much costly?	",price negotiate
"it is too much expensive	",price negotiate
"dont you think it is too much expensive	",price negotiate
"come on	",price negotiate
"please adjust the price	",price negotiate
"do something about the price	",price negotiate
"please lower the price	",price negotiate
"the price looks to high	",price negotiate
"price is high	",price negotiate
"price is too high	",price negotiate
"can you lower the price	",price negotiate
"please lower the price	",price negotiate
"I cant afford at this price	",price negotiate
"I cant afford it	",price negotiate
"is there any discount	",price negotiate
"is it negotiable	",price negotiate
"please give me some discount	",price negotiate
"I want discount	",price negotiate
"can I get some discount	",price negotiate
"any discounts	",price negotiate
"why no discounts	",price negotiate
"cant you do some discount	",price negotiate
"please adjust the price	",price negotiate
"do something about the price	",price negotiate
"please lower the price	",price negotiate
"the price looks to high	",price negotiate
"price is high	",price negotiate
"price is too high	",price negotiate
"can you lower the price	",price negotiate
"please lower the price	",price negotiate
"please adjust the price	",price negotiate
"do something about the price	",price negotiate
"please lower the price	",price negotiate
"the price looks to high	",price negotiate
"price is high	",price negotiate
"price is too high	",price negotiate
"can you lower the price	",price negotiate
"please lower the price	",price negotiate
"can it be lowered	",price negotiate
"can it be adjusted	",price negotiate
"it is high rate	",price negotiate
"it's too much	",price negotiate
"don't you think it's too much	",price negotiate
"it is not affordable	",price negotiate
"this is not affordable	",price negotiate
"the price seems too high	",price negotiate
"It is out of budget	",price negotiate
"not convinced..at this price	",price negotiate
"isn't it possible to lower the price	",price negotiate
"how much price you can lower	",price negotiate
"how much price negotiation you can do	",price negotiate
"how much price negotiation is in your hand	",price negotiate
"this is worth negotiation	",price negotiate
"you should lower price	",price negotiate
"you must lower price	",price negotiate
"why are you not lowering price	",price negotiate
"why cant you lower the price	",price negotiate
"what is your problem in negotiation	",price negotiate
"what is your problem in lowering cost	",price negotiate
"what is your problem in lowering price	",price negotiate
"what is your problem in minimizing cost	",price negotiate
"what is your problem in minimizing price	",price negotiate
"This should not be the proper price	",price negotiate
"You must consider my request to minimize price	",price negotiate
"You must consider my request to minimize cost	",price negotiate
"what is the price	",price ask
"how much cost	",price ask
"tell me the price	",price ask
"price	",price ask
"at how much amount	",price ask
"what is cost	",price ask
"heyy! what is cost	",price ask
"hey! what is cost	",price ask
"hey!! what is cost?	",price ask
"cost?	",price ask
"price?	",price ask
"can u plz tell me price of the product?	",price ask
"what is the amount	",price ask
"what is the amount of that product	",price ask
"what is the amount of this product	",price ask
"whats the amount	",price ask
"lets talk about the amount	",price ask
"lets talk about the amount and what is it	",price ask
"hey bro   what is the amount	",price ask
"tell me about price	",price ask
"tell me about amount	",price ask
"what is the price	",price ask
"what is the price of that product	",price ask
"what is the price of this product	",price ask
"whats the price	",price ask
"lets talk about the price	",price ask
"lets talk about the price and what is it	",price ask
"hey bro   what is the price	",price ask
"what is the cost	",price ask
"what is the cost of that product	",price ask
"what is the cost of this product	",price ask
"whats the cost	",price ask
"lets talk about the cost	",price ask
"lets talk about the cost and what is it	",price ask
"hey bro   what is the cost	",price ask
"please tell me the cost	",price ask
"what could be the cost	",price ask
"how much it will cost	",price ask
"cost details please	",price ask
"send more details reagarding price	",price ask
"details please	",price ask
"cost related details i want	",price ask
"price related details i want	",price ask
"price please	",price ask
"i want price related information	",price ask
"send price related information	",price ask
"what can be the price	",price ask
"*this much # can be the price na*	",price ask
"Price details please	",price ask
"Amount details please	",price ask
"Can i get price details	",price ask
"Can i get amount details	",price ask
"Can i get price details	",price ask
"Will you please provide price details	",price ask
"Will you please provide amount details	",price ask
"Will you please give me the price details	",price ask
"Will you please give me the amount details	",price ask
"Can i get the cost details	",price ask
"will you please give me the cost details	",price ask
"Will you please provide me the cost details	",price ask
"Detailed information related to price	",price ask
"Detailed information related to amount	",price ask
"Detailed information related to cost	",price ask
"Provide amount details please	",price ask
"Provide cost details please	",price ask
"talk about the price  what is it	",price ask
"Provide price details please	",price ask
"What is purchasing price	",price ask
"text me price details	",price ask
"text me amount details	",price ask
"Text me cost details	",price ask
"How much i have to pay to you	",price ask
"How much i have to give you	",price ask
"how much is the price	",price ask
"How much is the amount	",price ask
"How much is the cost	",price ask
"How much is the money in total	",price ask
"At what price you are selling	",price ask
"At what amount you are selling	",price ask
"At what cost you are selling	",price ask
"At what price you are ready to go	",price ask
"At what price you are ready to sell	",price ask
"At what amount you are ready to go	",price ask
"At what cost you are ready to go	",price ask
"At what amount you are ready to sell	",price ask
"At what cost you are ready to sell	",price ask
"What to pay?	",price ask
"What is your labelled price?	",price ask
"What is your labelled amount?	",price ask
"What is your labelled cost?	",price ask
"What is the mrp?	",price ask
"mrp?	",price ask
"What is the mrp of the product?	",price ask
"What is the retailing price?	",price ask
"how much is the rate?	",price ask
"What is the rate?	",price ask
"rate?	",price ask
"Tell me about the rate	",price ask
"Provide the details of rate	",price ask
"Lets talk about the rate	",price ask
"Rate of product?	",price ask
"first of all  tell me the rate?	",price ask
"Give me the rate details	",price ask
"Give me the information about rate	",price ask
"money value to pay?	",price ask
"And the amout to give?	",price ask
"And the money to give?	",price ask
"your price is very reasonable	",price compliment
"your cost price is very appropriate	",price compliment
"price is very suitable	",price compliment
"this is very affordable	",price compliment
"this is in budget	",price compliment
"it is affordable	",price compliment
"its nice and affordable	",price compliment
"its resonable	",price compliment
"thank you for the discount	",price compliment
"nice discount	",price compliment
"it is affordable with the discount	",price compliment
"thanks	",price compliment
"price is very appropriate	",price compliment
"discount is not so bad	",price compliment
"discount is appreciable	",price compliment
"discount is too much appreciable	",price compliment
"thanks for special discount that you offered me	",price compliment
"Nice price	",price compliment
"its proper rate	",price compliment
"Proper price	",price compliment
"The product was under budget	",price compliment
"Its affordable	",price compliment
"It is in budget	",price compliment
"price is appriciable	",price compliment
"it is appreciable	",price compliment
"It’s Okay	",price compliment
"good price but not necessarily good value	",price compliment
"Good price	",price compliment
"Good stuff	",price compliment
"Very goodprice	",price compliment
"Very affordable	",price compliment
"Really good price	",price compliment
